id,name,id_number_masked,position,nationality,birth_date,notes,created_at
442,Wulan Purwanto,5541********2441,COO,Indonesia,1977-09-28,,2026-01-15 14:24:55.147724+00
443,Sari Kusuma,5542********2442,Direktur,Indonesia,1982-12-16,,2026-01-15 14:24:55.147724+00
444,Indah Kusuma,5543********2443,Direktur,Indonesia,1984-06-24,,2026-01-15 14:24:55.147724+00
445,Nita Nugroho,5544********2444,Direktur Operasional,Indonesia,1976-11-23,,2026-01-15 14:24:55.147724+00
446,Maya Susanto,5545********2445,Komisaris Utama,Indonesia,1959-04-19,,2026-01-15 14:24:55.147724+00
447,Hendra Rizki Permana,5546********2446,Komisaris,Indonesia,1963-03-08,,2026-01-15 14:24:55.147724+00
448,Joko Nugroho,5547********2447,Sekretaris Perusahaan,Indonesia,1983-06-20,,2026-01-15 14:24:55.147724+00
449,Wahyu Rizki Wijaya,5548********2448,Direktur Keuangan,Indonesia,1975-08-03,,2026-01-15 14:24:55.147724+00
450,Wulan Agus Susanto,5549********2449,Direktur Keuangan,Indonesia,1984-04-20,,2026-01-15 14:24:55.147724+00
451,Sari Surya,5550********2450,Komisaris Utama,Indonesia,1985-03-17,,2026-01-15 14:24:55.147724+00
452,Bambang Hendro Nugroho,5551********2451,Direktur Operasional,Indonesia,1972-01-02,,2026-01-15 14:24:55.147724+00
453,Hendro Nugroho,5552********2452,Direktur,Indonesia,1973-03-09,,2026-01-15 14:24:55.147724+00
454,Rudi Prasetyo,5553********2453,CEO,Indonesia,1983-07-25,,2026-01-15 14:24:55.147724+00
455,Adi Hendra Aditya,5554********2454,Komisaris Utama,Japan,1961-09-11,,2026-01-15 14:24:55.147724+00
456,Yanti Feri Kusuma,5555********2455,Direktur Keuangan,Indonesia,1981-12-08,,2026-01-15 14:24:55.147724+00
457,Wishnu Wahyu Pratama,5556********2456,Sekretaris Perusahaan,Indonesia,1987-09-06,,2026-01-15 14:24:55.147724+00
458,Budi Kusuma,5557********2457,Sekretaris Perusahaan,Indonesia,1956-12-13,,2026-01-15 14:24:55.147724+00
459,Yanti Wijaya,5558********2458,Direktur Operasional,Malaysia,1967-10-21,,2026-01-15 14:24:55.147724+00
460,Indah Wulan Putra,5559********2459,Sekretaris Perusahaan,Indonesia,1954-04-17,,2026-01-15 14:24:55.147724+00
461,Dian Cahya,5560********2460,Direktur Operasional,Indonesia,1964-08-22,,2026-01-15 14:24:55.147724+00
462,Kurnia Maya Ardiansyah,5561********2461,Direktur,Indonesia,1971-08-14,,2026-01-15 14:24:55.147724+00
463,Nita Raharjo,5562********2462,Komisaris Independen,Indonesia,1960-07-09,,2026-01-15 14:24:55.147724+00
464,Fitri Suharto,5563********2463,Direktur Keuangan,Indonesia,1959-09-22,,2026-01-15 14:24:55.147724+00
465,Feri Nita Cahya,5564********2464,Direktur Utama,Indonesia,1960-01-08,,2026-01-15 14:24:55.147724+00
466,Hadi Dewi Susanto,5565********2465,CFO,Singapore,1958-12-24,,2026-01-15 14:24:55.147724+00
467,Agus Andi Surya,5566********2466,CFO,Indonesia,1983-02-05,,2026-01-15 14:24:55.147724+00
468,Hadi Eko Putra,5567********2467,Sekretaris Perusahaan,Indonesia,1959-04-25,,2026-01-15 14:24:55.147724+00
469,Feri Prasetyo,5568********2468,Sekretaris Perusahaan,Indonesia,1988-08-16,,2026-01-15 14:24:55.147724+00
470,Sari Susanto,5569********2469,Komisaris,Indonesia,1977-10-24,,2026-01-15 14:24:55.147724+00
471,Dwi Ardiansyah,5570********2470,COO,Indonesia,1981-01-07,,2026-01-15 14:24:55.147724+00
472,Bambang Setiawan,5571********2471,Direktur Operasional,Indonesia,1982-03-05,,2026-01-15 14:24:55.147724+00
473,Sari Wahyu Mahendra,5572********2472,Komisaris,Indonesia,1985-01-08,,2026-01-15 14:24:55.147724+00
474,Hendra Wati Surya,5573********2473,Direktur Utama,Indonesia,1989-06-24,,2026-01-15 14:24:55.147724+00
475,Dewi Hartono,5574********2474,COO,Indonesia,1952-06-09,,2026-01-15 14:24:55.147724+00
476,Feri Firmansyah,5575********2475,COO,Indonesia,1974-11-02,,2026-01-15 14:24:55.147724+00
477,Sri Agus Prasetyo,5576********2476,Direktur Operasional,Indonesia,1975-02-05,,2026-01-15 14:24:55.147724+00
478,Feri Purwanto,5577********2477,Komisaris Independen,Indonesia,1962-05-05,,2026-01-15 14:24:55.147724+00
479,Irwan Susanto,5578********2478,Komisaris,Indonesia,1961-06-08,,2026-01-15 14:24:55.147724+00
480,Irwan Dwi Firmansyah,5579********2479,COO,Indonesia,1954-10-13,,2026-01-15 14:24:55.147724+00
481,Andi Sigit Mahendra,5580********2480,CFO,Indonesia,1952-04-09,,2026-01-15 14:24:55.147724+00
482,Fitri Prasetyo,5581********2481,Direktur Utama,Indonesia,1971-04-19,,2026-01-15 14:24:55.147724+00
483,Wahyu Rina Wibowo,5582********2482,Direktur Utama,Japan,1971-08-08,,2026-01-15 14:24:55.147724+00
484,Ratna Kurnia Prabowo,5583********2483,Komisaris Independen,Indonesia,1990-03-05,,2026-01-15 14:24:55.147724+00
485,Nita Nita Surya,5584********2484,Direktur,Indonesia,1961-02-26,,2026-01-15 14:24:55.147724+00
486,Siti Purwanto,5585********2485,Direktur Utama,Indonesia,1966-09-03,,2026-01-15 14:24:55.147724+00
487,Maya Ardiansyah,5586********2486,Direktur Keuangan,Indonesia,1955-02-03,,2026-01-15 14:24:55.147724+00
488,Dian Suryanto,5587********2487,Direktur Utama,Indonesia,1987-02-14,,2026-01-15 14:24:55.147724+00
489,Tri Hartono,5588********2488,Komisaris Utama,Indonesia,1988-04-24,,2026-01-15 14:24:55.147724+00
490,Eko Hidayat,5589********2489,Komisaris Independen,Indonesia,1958-03-26,,2026-01-15 14:24:55.147724+00
491,Sigit Budi Hartono,5590********2490,CEO,Singapore,1963-07-22,,2026-01-15 14:24:55.147724+00
492,Wahyu Prabowo,5591********2491,Sekretaris Perusahaan,Indonesia,1990-03-20,,2026-01-15 14:24:55.147724+00
493,Adi Hadi Ramadhan,5592********2492,Direktur Utama,Indonesia,1957-12-07,,2026-01-15 14:24:55.147724+00
494,Hendro Setiawan,5593********2493,Direktur,Singapore,1961-04-24,,2026-01-15 14:24:55.147724+00
495,Siti Maya Wibowo,5594********2494,Komisaris Utama,Indonesia,1959-03-17,,2026-01-15 14:24:55.147724+00
496,Dwi Kurnia Purwanto,5595********2495,Komisaris Utama,Indonesia,1975-11-10,,2026-01-15 14:24:55.147724+00
497,Ratna Bambang Gunawan,5596********2496,CFO,Indonesia,1964-12-06,,2026-01-15 14:24:55.147724+00
498,Hadi Kurnia Wijaya,5597********2497,CEO,Indonesia,1961-09-01,,2026-01-15 14:24:55.147724+00
499,Sri Kusuma,5598********2498,Direktur Operasional,Indonesia,1978-12-18,,2026-01-15 14:24:55.147724+00
500,Yanti Wahyu Cahya,5599********2499,Komisaris Independen,Indonesia,1955-09-04,,2026-01-15 14:24:55.147724+00
501,Bambang Yulia Putra,5600********2500,COO,Indonesia,1986-09-25,,2026-01-15 14:24:55.147724+00
502,Hendra Hendra Susanto,5601********2501,Direktur,Indonesia,1964-01-23,,2026-01-15 14:24:55.147724+00
503,Andi Taufik Pratama,5602********2502,Direktur Operasional,Indonesia,1976-03-27,,2026-01-15 14:24:55.147724+00
504,Dewi Suryanto,5603********2503,Direktur Keuangan,Indonesia,1971-09-17,,2026-01-15 14:24:55.147724+00
505,Indah Hermawan,5604********2504,Direktur Operasional,Indonesia,1959-08-25,,2026-01-15 14:24:55.147724+00
506,Wati Raharjo,5605********2505,Direktur Utama,Indonesia,1989-04-07,,2026-01-15 14:24:55.147724+00
507,Joko Surya,5606********2506,Direktur,Indonesia,1968-09-12,,2026-01-15 14:24:55.147724+00
508,Dian Hendra Nugroho,5607********2507,Direktur Keuangan,Indonesia,1965-08-09,,2026-01-15 14:24:55.147724+00
509,Eko Adi Kusumo,5608********2508,Direktur Operasional,Singapore,1974-04-18,,2026-01-15 14:24:55.147724+00
510,Hendra Hendro Firmansyah,5609********2509,COO,Indonesia,1987-03-06,,2026-01-15 14:24:55.147724+00
511,Wati Dwi Saputra,5610********2510,Komisaris Utama,USA,1957-08-05,,2026-01-15 14:24:55.147724+00
512,Eko Putra,5611********2511,Sekretaris Perusahaan,Indonesia,1986-08-18,,2026-01-15 14:24:55.147724+00
513,Sri Saputra,5612********2512,Direktur,Japan,1976-09-19,,2026-01-15 14:24:55.147724+00
514,Sigit Surya,5613********2513,Direktur Operasional,Indonesia,1960-09-08,,2026-01-15 14:24:55.147724+00
515,Nurul Rizki Santoso,5614********2514,Direktur Utama,Indonesia,1950-06-25,,2026-01-15 14:24:55.147724+00
516,Wulan Hermawan,5615********2515,CEO,Indonesia,1964-10-02,,2026-01-15 14:24:55.147724+00
517,Taufik Putra,5616********2516,Komisaris,Indonesia,1975-11-23,,2026-01-15 14:24:55.147724+00
518,Andi Ramadhan,5617********2517,COO,Indonesia,1983-10-23,,2026-01-15 14:24:55.147724+00
519,Ratna Rina Hidayat,5618********2518,Direktur Operasional,Indonesia,1983-11-10,,2026-01-15 14:24:55.147724+00
520,Sari Prabowo,5619********2519,Direktur Operasional,Indonesia,1955-05-11,,2026-01-15 14:24:55.147724+00
521,Lestari Taufik Utomo,5620********2520,Komisaris Independen,Indonesia,1954-03-18,,2026-01-15 14:24:55.147724+00
522,Wulan Putri Cahya,5621********2521,Komisaris Utama,Indonesia,1954-03-22,,2026-01-15 14:24:55.147724+00
523,Dewi Wibowo,5622********2522,Komisaris,Indonesia,1990-06-03,,2026-01-15 14:24:55.147724+00
524,Budi Ahmad Gunawan,5623********2523,Komisaris,Indonesia,1965-10-06,,2026-01-15 14:24:55.147724+00
525,Hadi Putra,5624********2524,COO,Indonesia,1978-09-28,,2026-01-15 14:24:55.147724+00
526,Irwan Setiawan,5625********2525,Komisaris Utama,Indonesia,1957-08-08,,2026-01-15 14:24:55.147724+00
527,Adi Rina Ramadhan,5626********2526,Direktur,Indonesia,1971-11-13,,2026-01-15 14:24:55.147724+00
528,Bambang Hadi Kusumo,5627********2527,Komisaris Independen,Indonesia,1960-12-11,,2026-01-15 14:24:55.147724+00
529,Nurul Irwan Setiawan,5628********2528,Direktur Utama,Indonesia,1960-08-09,,2026-01-15 14:24:55.147724+00
530,Dwi Wibowo,5629********2529,Direktur,Indonesia,1957-08-03,,2026-01-15 14:24:55.147724+00
531,Dwi Dewi Santoso,5630********2530,Komisaris Utama,Indonesia,1972-10-17,,2026-01-15 14:24:55.147724+00
532,Kurnia Kusumo,5631********2531,Direktur Utama,Japan,1984-12-07,,2026-01-15 14:24:55.147724+00
533,Rina Putra,5632********2532,CFO,Indonesia,1990-06-16,,2026-01-15 14:24:55.147724+00
534,Indah Prabowo,5633********2533,Direktur,Malaysia,1957-05-18,,2026-01-15 14:24:55.147724+00
535,Nurul Wishnu Ramadhan,5634********2534,COO,Indonesia,1982-04-03,,2026-01-15 14:24:55.147724+00
536,Rina Sari Firmansyah,5635********2535,Direktur,Indonesia,1982-07-01,,2026-01-15 14:24:55.147724+00
537,Ratna Permana,5636********2536,COO,Indonesia,1955-07-13,,2026-01-15 14:24:55.147724+00
538,Lestari Hartono,5637********2537,Komisaris,Indonesia,1985-08-24,,2026-01-15 14:24:55.147724+00
539,Siti Gunawan,5638********2538,Direktur Utama,Indonesia,1982-12-12,,2026-01-15 14:24:55.147724+00
540,Hendro Irwan Wibowo,5639********2539,Direktur,Indonesia,1970-04-27,,2026-01-15 14:24:55.147724+00
541,Budi Dewi Kusumo,5640********2540,CFO,Indonesia,1953-07-19,,2026-01-15 14:24:55.147724+00
542,Kurnia Adi Pratama,5641********2541,COO,Indonesia,1954-03-06,,2026-01-15 14:24:55.147724+00
543,Budi Mahendra,5642********2542,CEO,Indonesia,1982-09-09,,2026-01-15 14:24:55.147724+00
544,Indah Kurnia Hartono,5643********2543,CEO,Indonesia,1973-12-20,,2026-01-15 14:24:55.147724+00
545,Dian Sari Pratama,5644********2544,Direktur Keuangan,Indonesia,1985-05-01,,2026-01-15 14:24:55.147724+00
779,Joko Saputra,5878********2778,Komisaris Utama,Indonesia,1967-12-14,,2026-01-15 14:24:55.147724+00
546,Ratna Hadi Surya,5645********2545,Komisaris Independen,Indonesia,1989-12-23,,2026-01-15 14:24:55.147724+00
547,Tri Hartono,5646********2546,Direktur Utama,Indonesia,1973-03-05,,2026-01-15 14:24:55.147724+00
548,Fitri Agus Suryanto,5647********2547,Direktur Utama,Indonesia,1963-10-27,,2026-01-15 14:24:55.147724+00
549,Kurnia Cahya,5648********2548,Direktur,Indonesia,1973-09-16,,2026-01-15 14:24:55.147724+00
550,Sri Prabowo,5649********2549,Direktur Operasional,Indonesia,1969-05-11,,2026-01-15 14:24:55.147724+00
551,Maya Ratna Utomo,5650********2550,Komisaris,Indonesia,1972-06-06,,2026-01-15 14:24:55.147724+00
552,Sari Hartono,5651********2551,CFO,Indonesia,1984-09-23,,2026-01-15 14:24:55.147724+00
553,Ahmad Ramadhan,5652********2552,CEO,Indonesia,1972-01-28,,2026-01-15 14:24:55.147724+00
554,Sigit Surya,5653********2553,Direktur Operasional,Indonesia,1963-12-13,,2026-01-15 14:24:55.147724+00
555,Rizki Surya,5654********2554,CEO,Indonesia,1989-07-04,,2026-01-15 14:24:55.147724+00
556,Agus Wijaya,5655********2555,Direktur Operasional,Indonesia,1986-09-26,,2026-01-15 14:24:55.147724+00
557,Sri Budi Putra,5656********2556,Direktur,China,1957-01-25,,2026-01-15 14:24:55.147724+00
558,Wulan Wibowo,5657********2557,Direktur Keuangan,Indonesia,1970-02-24,,2026-01-15 14:24:55.147724+00
559,Maya Agus Surya,5658********2558,Komisaris Utama,Indonesia,1957-04-25,,2026-01-15 14:24:55.147724+00
560,Agus Ramadhan,5659********2559,Sekretaris Perusahaan,Indonesia,1975-02-01,,2026-01-15 14:24:55.147724+00
561,Adi Putri Kusuma,5660********2560,COO,Indonesia,1985-01-09,,2026-01-15 14:24:55.147724+00
562,Dwi Hermawan,5661********2561,Komisaris Utama,Indonesia,1969-03-17,,2026-01-15 14:24:55.147724+00
563,Nita Hendra Pratama,5662********2562,Komisaris Independen,Japan,1985-06-18,,2026-01-15 14:24:55.147724+00
564,Siti Irwan Hidayat,5663********2563,Direktur Keuangan,Indonesia,1986-06-15,,2026-01-15 14:24:55.147724+00
565,Andi Dewi Gunawan,5664********2564,Direktur Keuangan,Indonesia,1956-04-23,,2026-01-15 14:24:55.147724+00
566,Tri Wahyu Hermawan,5665********2565,CFO,Japan,1964-02-08,,2026-01-15 14:24:55.147724+00
567,Bambang Dwi Pratama,5666********2566,COO,Indonesia,1952-03-16,,2026-01-15 14:24:55.147724+00
568,Rina Sigit Firmansyah,5667********2567,CEO,Indonesia,1986-07-18,,2026-01-15 14:24:55.147724+00
569,Indah Ratna Ardiansyah,5668********2568,Komisaris,Indonesia,1953-12-27,,2026-01-15 14:24:55.147724+00
570,Yanti Kusumo,5669********2569,CEO,Indonesia,1984-08-08,,2026-01-15 14:24:55.147724+00
571,Kurnia Taufik Aditya,5670********2570,Direktur Utama,China,1963-08-13,,2026-01-15 14:24:55.147724+00
572,Wulan Putra,5671********2571,Direktur Keuangan,Indonesia,1962-12-12,,2026-01-15 14:24:55.147724+00
573,Nurul Saputra,5672********2572,Direktur,Indonesia,1987-07-17,,2026-01-15 14:24:55.147724+00
574,Bambang Dian Putra,5673********2573,CEO,Indonesia,1969-05-14,,2026-01-15 14:24:55.147724+00
575,Siti Permana,5674********2574,Komisaris Utama,Indonesia,1969-10-14,,2026-01-15 14:24:55.147724+00
576,Rudi Hadi Santoso,5675********2575,CFO,Indonesia,1980-01-26,,2026-01-15 14:24:55.147724+00
577,Agus Ardiansyah,5676********2576,Direktur Keuangan,Indonesia,1965-03-08,,2026-01-15 14:24:55.147724+00
578,Hendro Cahya,5677********2577,COO,Indonesia,1976-01-09,,2026-01-15 14:24:55.147724+00
579,Sigit Yulia Susanto,5678********2578,Sekretaris Perusahaan,Indonesia,1974-12-12,,2026-01-15 14:24:55.147724+00
580,Kurnia Hadi Ardiansyah,5679********2579,CEO,China,1972-11-08,,2026-01-15 14:24:55.147724+00
581,Putri Maya Kusumo,5680********2580,Komisaris Independen,Indonesia,1967-08-26,,2026-01-15 14:24:55.147724+00
582,Andi Lestari Hidayat,5681********2581,Direktur Operasional,Indonesia,1963-05-05,,2026-01-15 14:24:55.147724+00
583,Eko Budi Wibowo,5682********2582,Komisaris Independen,Indonesia,1954-05-19,,2026-01-15 14:24:55.147724+00
584,Siti Yanti Ardiansyah,5683********2583,Direktur Operasional,Indonesia,1990-09-15,,2026-01-15 14:24:55.147724+00
585,Agus Raharjo,5684********2584,Sekretaris Perusahaan,Indonesia,1960-07-23,,2026-01-15 14:24:55.147724+00
586,Rizki Kusumo,5685********2585,COO,Indonesia,1978-01-02,,2026-01-15 14:24:55.147724+00
587,Indah Wulan Gunawan,5686********2586,Direktur Operasional,Indonesia,1968-02-25,,2026-01-15 14:24:55.147724+00
588,Irwan Prabowo,5687********2587,Direktur,Indonesia,1982-07-01,,2026-01-15 14:24:55.147724+00
589,Budi Rizki Suryanto,5688********2588,Direktur Keuangan,Indonesia,1970-01-11,,2026-01-15 14:24:55.147724+00
590,Dwi Hermawan,5689********2589,Komisaris Independen,Indonesia,1964-06-15,,2026-01-15 14:24:55.147724+00
591,Yulia Andi Putra,5690********2590,COO,Indonesia,1956-02-12,,2026-01-15 14:24:55.147724+00
592,Andi Gunawan,5691********2591,Komisaris Independen,Indonesia,1952-01-27,,2026-01-15 14:24:55.147724+00
593,Siti Susanto,5692********2592,CFO,Indonesia,1967-08-22,,2026-01-15 14:24:55.147724+00
594,Indah Hendro Suharto,5693********2593,Direktur,Indonesia,1952-03-09,,2026-01-15 14:24:55.147724+00
595,Wulan Purwanto,5694********2594,Komisaris,Netherlands,1986-07-12,,2026-01-15 14:24:55.147724+00
596,Bambang Budi Hermawan,5695********2595,Direktur Utama,Malaysia,1952-02-22,,2026-01-15 14:24:55.147724+00
597,Tri Wijaya,5696********2596,Komisaris,Japan,1968-03-13,,2026-01-15 14:24:55.147724+00
598,Wahyu Nita Kusumo,5697********2597,Sekretaris Perusahaan,Indonesia,1957-04-06,,2026-01-15 14:24:55.147724+00
599,Sri Aditya,5698********2598,Direktur Keuangan,Indonesia,1951-12-16,,2026-01-15 14:24:55.147724+00
600,Eko Sri Raharjo,5699********2599,COO,Indonesia,1972-03-17,,2026-01-15 14:24:55.147724+00
601,Joko Budi Kusuma,5700********2600,Sekretaris Perusahaan,Indonesia,1956-06-25,,2026-01-15 14:24:55.147724+00
602,Indah Wulan Surya,5701********2601,Komisaris Utama,Indonesia,1971-07-22,,2026-01-15 14:24:55.147724+00
603,Nita Nurul Wibowo,5702********2602,Komisaris,Indonesia,1985-03-27,,2026-01-15 14:24:55.147724+00
604,Agus Hermawan,5703********2603,CFO,China,1962-08-25,,2026-01-15 14:24:55.147724+00
605,Tri Indah Surya,5704********2604,CFO,Indonesia,1990-12-27,,2026-01-15 14:24:55.147724+00
606,Hendro Dwi Cahya,5705********2605,Direktur Operasional,Indonesia,1968-07-26,,2026-01-15 14:24:55.147724+00
607,Ahmad Saputra,5706********2606,CFO,Indonesia,1989-07-21,,2026-01-15 14:24:55.147724+00
608,Lestari Andi Ramadhan,5707********2607,COO,Indonesia,1982-12-24,,2026-01-15 14:24:55.147724+00
609,Ratna Sri Setiawan,5708********2608,CEO,Indonesia,1990-06-27,,2026-01-15 14:24:55.147724+00
610,Dwi Hermawan,5709********2609,Direktur Utama,Indonesia,1960-10-04,,2026-01-15 14:24:55.147724+00
611,Yanti Fitri Firmansyah,5710********2610,CEO,Indonesia,1990-12-21,,2026-01-15 14:24:55.147724+00
612,Andi Irwan Nugroho,5711********2611,Direktur Utama,Indonesia,1963-09-17,,2026-01-15 14:24:55.147724+00
613,Adi Hendro Firmansyah,5712********2612,Komisaris Utama,Indonesia,1971-04-28,,2026-01-15 14:24:55.147724+00
614,Maya Putra,5713********2613,Direktur Keuangan,Indonesia,1970-08-20,,2026-01-15 14:24:55.147724+00
615,Budi Hermawan,5714********2614,Direktur Operasional,Indonesia,1966-06-17,,2026-01-15 14:24:55.147724+00
616,Irwan Ramadhan,5715********2615,Komisaris Utama,Indonesia,1984-11-22,,2026-01-15 14:24:55.147724+00
617,Budi Joko Purwanto,5716********2616,Direktur Operasional,Indonesia,1976-11-19,,2026-01-15 14:24:55.147724+00
618,Rizki Indah Utomo,5717********2617,Direktur Utama,Indonesia,1990-12-02,,2026-01-15 14:24:55.147724+00
619,Nita Hadi Cahya,5718********2618,Direktur,Indonesia,1954-06-14,,2026-01-15 14:24:55.147724+00
620,Eko Hidayat,5719********2619,COO,Indonesia,1976-09-16,,2026-01-15 14:24:55.147724+00
621,Hendro Setiawan,5720********2620,Direktur Keuangan,Indonesia,1954-10-08,,2026-01-15 14:24:55.147724+00
622,Hendro Saputra,5721********2621,Direktur,Indonesia,1968-04-23,,2026-01-15 14:24:55.147724+00
623,Dian Irwan Hidayat,5722********2622,Sekretaris Perusahaan,Indonesia,1954-04-15,,2026-01-15 14:24:55.147724+00
624,Rina Yanti Gunawan,5723********2623,Komisaris Independen,Indonesia,1969-06-26,,2026-01-15 14:24:55.147724+00
625,Budi Lestari Wibowo,5724********2624,Direktur Keuangan,Netherlands,1974-03-23,,2026-01-15 14:24:55.147724+00
626,Taufik Eko Kusuma,5725********2625,Sekretaris Perusahaan,Indonesia,1986-06-24,,2026-01-15 14:24:55.147724+00
627,Indah Purwanto,5726********2626,Direktur Keuangan,Indonesia,1961-05-23,,2026-01-15 14:24:55.147724+00
628,Lestari Siti Raharjo,5727********2627,Komisaris Independen,Indonesia,1958-05-23,,2026-01-15 14:24:55.147724+00
629,Rizki Kusumo,5728********2628,Sekretaris Perusahaan,Indonesia,1963-07-01,,2026-01-15 14:24:55.147724+00
630,Taufik Sigit Setiawan,5729********2629,CFO,Indonesia,1980-05-01,,2026-01-15 14:24:55.147724+00
631,Wishnu Surya,5730********2630,CEO,Indonesia,1979-11-12,,2026-01-15 14:24:55.147724+00
632,Kurnia Rudi Pratama,5731********2631,Direktur Operasional,Indonesia,1954-07-19,,2026-01-15 14:24:55.147724+00
633,Hendra Rudi Setiawan,5732********2632,Komisaris,Indonesia,1955-08-16,,2026-01-15 14:24:55.147724+00
634,Maya Ratna Utomo,5733********2633,COO,Indonesia,1964-09-10,,2026-01-15 14:24:55.147724+00
635,Ratna Irwan Hartono,5734********2634,Komisaris,Indonesia,1975-01-16,,2026-01-15 14:24:55.147724+00
636,Hendro Tri Wibowo,5735********2635,Direktur,Indonesia,1990-08-15,,2026-01-15 14:24:55.147724+00
637,Dian Wishnu Susanto,5736********2636,Sekretaris Perusahaan,Indonesia,1972-03-08,,2026-01-15 14:24:55.147724+00
638,Sari Eko Ramadhan,5737********2637,COO,Indonesia,1989-09-06,,2026-01-15 14:24:55.147724+00
639,Nita Raharjo,5738********2638,Sekretaris Perusahaan,Indonesia,1955-11-01,,2026-01-15 14:24:55.147724+00
640,Taufik Rina Firmansyah,5739********2639,COO,Indonesia,1976-05-11,,2026-01-15 14:24:55.147724+00
641,Yulia Tri Wijaya,5740********2640,CFO,Indonesia,1985-05-22,,2026-01-15 14:24:55.147724+00
642,Rizki Wahyu Hidayat,5741********2641,CFO,Indonesia,1953-11-22,,2026-01-15 14:24:55.147724+00
643,Wahyu Hendra Surya,5742********2642,Sekretaris Perusahaan,Indonesia,1977-07-11,,2026-01-15 14:24:55.147724+00
644,Joko Hendra Suharto,5743********2643,COO,Indonesia,1981-04-06,,2026-01-15 14:24:55.147724+00
645,Wahyu Hendro Cahya,5744********2644,CFO,Indonesia,1973-10-16,,2026-01-15 14:24:55.147724+00
646,Feri Setiawan,5745********2645,CEO,Indonesia,1988-04-10,,2026-01-15 14:24:55.147724+00
647,Nurul Putri Hidayat,5746********2646,Komisaris Utama,Indonesia,1972-02-23,,2026-01-15 14:24:55.147724+00
648,Maya Hendro Setiawan,5747********2647,Komisaris,Indonesia,1960-09-17,,2026-01-15 14:24:55.147724+00
649,Putri Aditya,5748********2648,Direktur Keuangan,Indonesia,1957-12-18,,2026-01-15 14:24:55.147724+00
650,Wulan Lestari Suharto,5749********2649,CFO,Indonesia,1978-04-12,,2026-01-15 14:24:55.147724+00
651,Joko Aditya,5750********2650,Komisaris Independen,Indonesia,1969-07-22,,2026-01-15 14:24:55.147724+00
652,Lestari Santoso,5751********2651,Direktur Operasional,Indonesia,1979-06-10,,2026-01-15 14:24:55.147724+00
653,Indah Hendra Wijaya,5752********2652,Direktur,Indonesia,1986-11-05,,2026-01-15 14:24:55.147724+00
654,Eko Yanti Hermawan,5753********2653,Direktur Utama,Indonesia,1963-01-23,,2026-01-15 14:24:55.147724+00
655,Wishnu Firmansyah,5754********2654,COO,China,1974-02-03,,2026-01-15 14:24:55.147724+00
656,Sari Wibowo,5755********2655,CFO,Indonesia,1984-08-20,,2026-01-15 14:24:55.147724+00
657,Ratna Hendra Firmansyah,5756********2656,Direktur Operasional,Indonesia,1950-06-17,,2026-01-15 14:24:55.147724+00
658,Wulan Aditya,5757********2657,COO,Indonesia,1980-11-27,,2026-01-15 14:24:55.147724+00
659,Feri Cahya,5758********2658,Direktur,Indonesia,1973-04-18,,2026-01-15 14:24:55.147724+00
660,Nita Cahya,5759********2659,Direktur,Indonesia,1963-02-24,,2026-01-15 14:24:55.147724+00
661,Sri Cahya,5760********2660,Sekretaris Perusahaan,Indonesia,1988-05-12,,2026-01-15 14:24:55.147724+00
662,Indah Susanto,5761********2661,Direktur Utama,Netherlands,1957-06-28,,2026-01-15 14:24:55.147724+00
663,Dewi Irwan Susanto,5762********2662,Komisaris Independen,Indonesia,1956-02-23,,2026-01-15 14:24:55.147724+00
664,Ahmad Raharjo,5763********2663,Direktur,Indonesia,1950-07-11,,2026-01-15 14:24:55.147724+00
665,Wulan Dian Purwanto,5764********2664,CEO,Indonesia,1972-03-28,,2026-01-15 14:24:55.147724+00
666,Nita Adi Setiawan,5765********2665,Direktur Operasional,Japan,1978-07-10,,2026-01-15 14:24:55.147724+00
667,Rina Rudi Hermawan,5766********2666,Direktur,Indonesia,1964-02-04,,2026-01-15 14:24:55.147724+00
668,Ratna Wijaya,5767********2667,CFO,Indonesia,1958-06-07,,2026-01-15 14:24:55.147724+00
669,Yulia Hidayat,5768********2668,Direktur Keuangan,Indonesia,1950-06-23,,2026-01-15 14:24:55.147724+00
670,Rudi Prabowo,5769********2669,Sekretaris Perusahaan,Indonesia,1979-08-09,,2026-01-15 14:24:55.147724+00
671,Maya Dewi Wijaya,5770********2670,Direktur Keuangan,Indonesia,1961-08-11,,2026-01-15 14:24:55.147724+00
672,Kurnia Pratama,5771********2671,Komisaris Independen,Indonesia,1980-11-09,,2026-01-15 14:24:55.147724+00
673,Kurnia Wibowo,5772********2672,Direktur Operasional,Indonesia,1967-05-02,,2026-01-15 14:24:55.147724+00
674,Dewi Santoso,5773********2673,Komisaris Utama,Indonesia,1980-03-24,,2026-01-15 14:24:55.147724+00
675,Taufik Rizki Hartono,5774********2674,Komisaris Utama,Indonesia,1975-03-02,,2026-01-15 14:24:55.147724+00
676,Wahyu Rudi Setiawan,5775********2675,Sekretaris Perusahaan,Indonesia,1958-11-12,,2026-01-15 14:24:55.147724+00
677,Tri Aditya,5776********2676,Sekretaris Perusahaan,Indonesia,1984-07-17,,2026-01-15 14:24:55.147724+00
678,Maya Putra,5777********2677,CEO,China,1977-09-28,,2026-01-15 14:24:55.147724+00
679,Rina Putra,5778********2678,Sekretaris Perusahaan,Indonesia,1982-10-21,,2026-01-15 14:24:55.147724+00
